end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccretionExpenseIncludingAssetRetirementObligations,AccruedLiabilities,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AmortizationOfDebtDiscountPremium,AssetRetirementObligation,AssetRetirementObligationAccretionExpense,AssetRetirementObligationRevisionOfEstimate,Assets,AssetsCurrent,CapitalizedCostsOfUnprovedPropertiesExcludedFromAmortization,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,ConvertiblePreferredStockParStatedValuePerShare,CostOfGoodsSold,CostOfServicesOilAndGas,CostsIncurredAssetRetirementObligationIncurred,DebtConversionConvertedInstrumentSharesIssued,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount,DebtConversionOriginalDebtAmount1,DebtDefaultShorttermDebtAmount,DebtInstrumentFaceAmount,DebtInstrumentInterestRateDuringPeriod,DeferredFinanceCostsNet,DeferredTaxAssetsGross,DeferredTaxAssetsValuationAllowance,Depletion,Depreciation,DepreciationExpense,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DevelopmentCostsCumulative,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EmployeeRelatedLiabilitiesCurrent,GainLossOnSaleOfDerivatives,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,Goodwill,GoodwillImpairmentLoss,GrossProfit,GuarantyFeeIncome,ImpairmentOfOilAndGasProperties,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAssetRetirementObligations,IncreaseDecreaseInDeferredCompensation,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherCurrentAssets,InterestExpense,InterestExpenseDebt,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LiabilitiesNoncurrent,LitigationReserve,LoansPayableCurrent,MarketingExpense,MergerAndAcquisitionCosts,MineralPropertiesAccumulatedDepletion,MinorityInterestOwnershipPercentageByNoncontrollingOwners,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NoncontrollingInterestInVariableInterestEntity,NoncurrentAssets,NotesAndLoansPayable,NotesAndLoansReceivableNetCurrent,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,OilAndGasProducingPropertiesOfRateRegulatedCompaniesProvedAndUnprovedReserves,OilAndGasPropertyFullCostMethodNet,OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAmortizationAndImpairment,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAssets,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest,OtherExpenses,OtherExtraordinaryGainLoss,OtherGeneralAndAdministrativeExpense,OtherLongTermNotesPayable,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToExploreAndDevelopOilAndGasProperties,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidRent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromOtherOperatingActivities,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfOtherLongTermDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalAndContractServicesExpense,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,ProvedOilAndGasPropertySuccessfulEffortMethod,ProvisionForLoanAndLeaseLosses,RepaymentsOfDebt,ResearchAndDevelopmentExpense,ResultsOfOperationsIncomeBeforeIncomeTaxes,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,SharesIssued,ShortTermBorrowings,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2008-12-31,2010-05-10,10-K,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62069.0,,,,,,,,,
2009-12-31,2010-05-11,10-K,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,8201.0,,,,,,,,,,19800.0,,,,,,,4542.0,,,,-48.0,0.001,250000000.0,9800000.0,9800000.0,,9800.0,,,,,,,,,,,,,,,,,,,,,,,,11622.0,-0.001,,,,,-77.0,,,,,,,,-3307.0,,,,,,11622.0,,,,,,,,,,70432.0,,,,,,,,11622.0,,-11670.0,-8363.0,,,,,,50609.0,,,,,,8363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3898.0,,,,,,,,,-100032.0,,,,,-70432.0,,,,,,,,,9800000.0
2010-03-31,2010-05-11,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,656.0,,,,,,,,750.0,,,,,,656.0,,,,,,,,,,,,,,,,,,656.0,,-656.0,-1406.0,,,,,,,,,,,,1406.0,-1406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.0,,,,,,,,,,,,,,,,,,,,14003836.0,,9800000.0,
2010-06-30,2010-08-11,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,,,,,,,,,,,,,,,,,,,,,-12659.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3778.0,,,,,,,,,,,,3778.0,-3778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,14003836.0,,9800000.0,
2010-09-30,2010-11-18,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1180.0,,,,,,,,,,,,1180.0,-1180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,14860900.0,,9800000.0,
2010-12-31,2011-04-15,10-K,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,901.0,,,,,,,,,,72876.0,,,,,104325.0,53.0,,,53.0,53.0,53.0,0.001,250000000.0,100000000.0,100000000.0,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.002,,,,,5465.0,104272.0,,,,,,,-7500.0,,,,,,16715.0,,,,,,3125.0,,104325.0,,54026.0,,,,,51000.0,,,16715.0,53.0,-16715.0,-22545.0,,,,,,50000.0,,,,,,22545.0,-22545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750.0,,,,,,,,,-122577.0,,13330.0,100000.0,,50299.0,,51000.0,78946.0,,13330.0,,,10020274.0,10020274.0
2011-03-31,2011-05-16,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,126001.0,,,,,,,,,,72876.0,,,,,110742.0,6470.0,,,,6470.0,6417.0,0.001,250000000.0,100000000.0,100000000.0,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.034,,90000.0,,,112818.0,104272.0,,,,,,,114187.0,,,,90000.0,,,12450.0,,,1537.0,,4662.0,,110742.0,,390663.0,,,,73512.0,,,,120000.0,,-113583.0,-330220.0,,,,,,170000.0,,,,,,328683.0,-328683.0,,,,,,,,,,,,,,,,,,,,,,120000.0,,,,,,,136103.0,,,,,,,6250.0,,-452797.0,,,100000.0,,-279921.0,,,,,,14003836.0,,9800000.0,
2011-06-30,2011-08-10,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,156001.0,,,,,,,,,,72876.0,,,,,110510.0,6238.0,,,,6238.0,,0.001,250000000.0,100000000.0,100000000.0,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.003,,180000.0,,,112818.0,104272.0,,,,,,,,,,,,,,,,,1537.0,,6781.0,,110510.0,,537782.0,,,,73512.0,,,,,,,-330220.0,,,,,,195000.0,,,,,,328683.0,-328683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136103.0,,,,,,,6250.0,,-600148.0,,90000.0,100000.0,,-427272.0,,,,,,100000000.0,,100000000.0,
2011-09-30,2011-11-14,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,155801.0,,,,,,,,,,72876.0,,,,,107832.0,3560.0,,,,3560.0,,0.001,250000000.0,100000000.0,100000000.0,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,270000.0,,,117478.0,104272.0,,,,,,,,,,,,,,,,,28516.0,,35297.0,,107832.0,,681098.0,,,,,,,,,,,-145994.0,,,,,,220000.0,,,,,,117478.0,-117478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8750.0,,,,,,,15625.0,,-746142.0,,,,,-573266.0,,,,,,100000000.0,100000000.0,100000000.0,
2011-12-31,2012-04-16,10-K,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,155801.0,533548.0,155801.0,,,,,,377747.0,,,,72876.0,,0.0,,,105845.0,1573.0,,1573.0,,1573.0,1520.0,0.001,250000000.0,100000000.0,100000000.0,,100000.0,,,,0.0,,,,,,,,,,,,244300.0,-244300.0,0.0,0.0,,,,0.0,,-0.01,,330000.0,,,653380.0,104272.0,,,,,,,529522.0,,,,330000.0,,,44622.0,,,44622.0,,47747.0,753548.0,105845.0,,753548.0,,,220000.0,73512.0,,,,170000.0,,-168480.0,-698002.0,,,,220000.0,,220000.0,,,,0.0,0.0,653380.0,-653380.0,,,104272.0,,,,,,653380.0,,,0.0,,10000000.0,,,,,,,,170000.0,,,,,,,184291.0,0.0,0.0,0.0,0.0,,,34250.0,-698002.0,-820579.0,,,,,-647703.0,,,,,,,100000000.0,10020274.0,
2012-03-31,2012-05-14,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,155801.0,,,,,,,,,,72876.0,,,330.0,3860.0,104376.0,104.0,,,,104.0,-1469.0,0.001,250000000.0,100000000.0,100000000.0,,100000.0,,,,,,,8644.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,360000.0,,,31469.0,104272.0,,,,,,42450.0,,,,,30000.0,,,12450.0,,,-12450.0,,60197.0,,104376.0,,795998.0,,,,,,,,,,-1469.0,-43919.0,,,,,,220000.0,,,,,,31469.0,-31469.0,,,,,,,,-43919.0,,,,,,,,,,,,,,,,,,,,,1250.0,,,,,,,,,-864498.0,,,,,-691622.0,,,,,,100000000.0,,100000000.0,
2012-06-30,2012-08-15,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,165235.0,,,,,,,,,,72876.0,,,,,104325.0,53.0,,,,53.0,,0.001,250000000.0,100000000.0,100000000.0,,100000.0,,,,0.0,,,,15200000.0,10670000.0,50609.0,28099.0,,50000.0,0.025,,,,,,,,,,,0.0,,360000.0,,,10735.0,104272.0,,,,,,,,,,,,,,,,,-12450.0,,72647.0,,104325.0,,817882.0,,,,,,,,,,,-23185.0,,,,,,220000.0,,,,,,9485.0,-10735.0,,,,,,,,-23185.0,10735.0,170000.0,,,,10000000.0,,,,,,,,,,,,,,,4750.0,,,,,,,,,-886433.0,,,,,-713557.0,13330000.0,,,,,100000000.0,,100000000.0,
2012-09-30,2012-11-19,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,174990.0,,,,,,14736.0,,882647.0,,,975000.0,1047876.0,,,,,1244446.0,14879.0,,143.0,,143.0,,0.001,250000000.0,125000000.0,100000000.0,,125000.0,,,,,-37262.0,,,,,,,,220000.0,,,,,,,,,,66000.0,,0.0,,,,,410670.0,104272.0,,-14736.0,,,,,,,,,,,,,,,-24900.0,,72647.0,,1244446.0,,1377637.0,,,,,,,,,,,-420834.0,,,81126.0,320000.0,33626.0,,,,1010543.0,1010543.0,-122352.0,,-395934.0,,,1229567.0,,,,,-420834.0,410670.0,170000.0,,,,10000000.0,,,,,,,,,,,,,,,,83105.0,81126.0,-1979.0,1066895.0,,,,,-1306067.0,51998.0,,,,-133191.0,,,,,,,116576987.0,116576987.0,
2012-12-31,2013-04-29,10-K,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,171364.0,171364.0,171364.0,19870.0,,,,,-21002.0,,,2949471.0,4768.0,5114.0,330.0,3860.0,951412.0,23518.0,,23518.0,,23518.0,21945.0,0.001,1490000000.0,39333.0,39333.0,,39.0,1426.0,1426.0,1426.0,,,132582.0,8644.0,,,,,,,,,142568.0,-142568.0,53602.0,4722.0,,,,,,-39.37,,,,,1998092.0,,104272.0,-45273.0,,147795.0,,,-341999.0,,-23696.0,-3860.0,,,3450.0,,,,100362.0,,,962348.0,951412.0,450000.0,957234.0,5114.0,,763342.0,,,-150754.0,,122182.0,-80000.0,-20237.0,-2139867.0,,,35661.0,763342.0,,,1232.0,21102.0,,,,,-2043365.0,,407338.0,927894.0,,,,,,1746025.0,,,80000.0,0.001,10000000.0,,,,,,,,117500.0,,,1232.0,,,,,,,,892233.0,,,,-2139867.0,-2960446.0,87309.0,,,764768.0,-10936.0,2150000.0,595684.0,,2150000.0,,,54357.0,,
2013-03-31,2013-05-20,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,184586.0,,,,,,123.0,,-23026.0,,,3025260.0,25846.0,5237.0,123.0,,903906.0,3476.0,,3476.0,,3476.0,-20042.0,0.001,250000000.0,125000000.0,100000000.0,,59250.0,20614.0,,,,-54059.0,54059.0,,,,,,,,,,153358.0,153358.0,30068.0,2024.0,,,,,6000.0,-16.4,,,,449181.0,102849.0,,,-36112.0,,,-644966.0,19134.0,19134.0,-14820.0,,,,,,,,1463.0,-56824.0,-449181.0,,710522.0,903906.0,,705285.0,5237.0,,,,,-180638.0,,101800.0,,-121842.0,-644966.0,,,33637.0,487800.0,,,,,,,,,-138961.0,,,900430.0,,-644966.0,,,-506005.0,102849.0,,,,,10000000.0,,,,4537.0,42800.0,,65000.0,65000.0,,,,,,,,,,,862256.0,,,,-506005.0,-3605412.0,17947.0,,,510914.0,193384.0,,,,,,,39333.0,59000172.0,
2013-06-30,2013-08-19,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,,154591.0,,,,,,-25050.0,,,4104024.0,,5333.0,,,868232.0,20203.0,,20203.0,,20203.0,,0.001,250000000.0,66554539.0,59000000.0,,66554.0,,96665.0,,,-96295.0,96295.0,,,,,,,,,,302366.0,-302366.0,,,,476795.0,-272034.0,,,-21.53,,,-272034.0,-23767.0,379254.0,,,-52352.0,,,-902150.0,,,,,,,,,,,,174743.0,-23767.0,,1205216.0,868232.0,,1199883.0,5333.0,,,,,-234560.0,,,,,-902150.0,,,31613.0,272547.0,,,,,,,,,-431606.0,,,848029.0,,-902150.0,,,-470544.0,379254.0,,,,,10000000.0,,,,8192.0,,,,,,,,,,,,,,,808224.0,,,,-902150.0,-4507562.0,43943.0,,,,336984.0,,,,,,,41898.0,62846865.0,
2013-09-30,2013-11-05,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,,180789.0,,,,,,-29276.0,,,4526964.0,,5114.0,,,808645.0,5219.0,,5219.0,,5219.0,,0.001,490000000.0,262850150.0,59000000.0,,262850.0,132020.0,,,,-73815.0,73815.0,,,,,,,,,,386808.0,-386808.0,,,,431463.0,-431643.0,,,-0.01,,,-84876.0,-73438.0,155362.0,,,-32161.0,,,-643252.0,,,,,,,,,,,,297415.0,-73438.0,,1165645.0,808645.0,,1160210.0,5435.0,,,,,-276714.0,,,,,-643252.0,,,27387.0,118030.0,,,,,,,,,-187523.0,3755.0,,803426.0,,-643252.0,,,-643252.0,155362.0,,,,0.001,10000000.0,,,,9969.0,,,,,,,,,,,,,,,766070.0,,,,-643252.0,-5150814.0,41654.0,,,,-357000.0,,,,,,,128436920.0,128436920.0,
2013-12-31,2014-04-15,10-K,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,219528.0,,15958.0,,,667.0,,-31300.0,,,4881543.0,501367.0,5781.0,667.0,,844536.0,3508.0,,3508.0,,3508.0,-20010.0,0.001,4990000000.0,334738.0,334738.0,4000.0,335.0,,,199446.0,,,129040.0,5114.0,,,,,310902.0,,,15324.0,372442.0,-372442.0,7114.0,10298.0,,220131.0,220131.0,,,-22.92,,,-127872.0,-563551.0,1043680.0,,,4329.0,,84778.0,,,189761.0,-3912.0,-22660.0,,,,,,,16726.0,722794.0,,,1372672.0,844536.0,450000.0,1366891.0,5781.0,,366284.0,,,-157665.0,,438780.0,,-458790.0,-2453568.0,,,25363.0,,,,1232.0,,,,,,-1039351.0,,1064121.0,841028.0,,,,,,958902.0,,,0.0,0.001,10000000.0,,,,,366280.0,,,101550.0,,,,,,,,,,,800341.0,,12000.0,,-2453568.0,-5414014.0,133369.0,,,910042.0,-528136.0,,,,190567.0,,,107036.0,,
2014-03-31,2014-05-20,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,235087.0,,24898.0,1530.0,,,,-42003.0,-1799.0,,7384178.0,180694.0,7894.0,2113.0,-2025.0,1196817.0,78264.0,,76734.0,,76734.0,73226.0,0.001,1490000000.0,13201872.0,13201872.0,96630.0,13202.0,,,178225.0,,,39765.0,,,,,,233869.0,,,14219.0,423285.0,-423285.0,2363.0,3778.0,,990238.0,990238.0,,,-0.58,-2679.0,,672876.0,365577.0,2140154.0,,,-3977.0,,,-3895664.0,,15252.0,8940.0,-1530.0,-2025.0,,,,,,7605.0,-248117.0,,,2762760.0,1196817.0,,2754866.0,7894.0,,903195.0,,,-174221.0,,41178.0,141470.0,-106743.0,-3893330.0,-2334.0,249090.0,29771.0,,,,1232.0,,,,,,-2144131.0,,1209385.0,1118553.0,-2679.0,-3895129.0,-880.0,,,2140154.0,,,,0.001,10000000.0,100000.0,100000.0,100.0,,30678.0,,,,,,,,,,,,,,1074563.0,,-1000.0,,-1751533.0,-9307344.0,35788.0,,,,-1565943.0,,,,2059413.0,,,6663600.0,,
2014-06-30,2014-12-02,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,329542.0,,72945.0,587.0,,190.0,,-49558.0,-8815.0,,7829777.0,,8084.0,,,1137298.0,31146.0,,8559.0,,8559.0,,0.001,1490000000.0,71783740.0,71783740.0,112271.0,71784.0,,,275631.0,,,10673.0,,,,,,436742.0,,,7449.0,978938.0,-978938.0,,,,1104159.0,1625830.0,,,-0.04,,,-431283.0,-44123.0,892240.0,,,13566.0,,,-1390026.0,,,,,-2025.0,,,,,,,252057.0,,,3585808.0,1137298.0,,3577724.0,8084.0,206000.0,579064.0,,,-176074.0,0.3383,,,,-1334632.0,-55394.0,190109.0,25993.0,,,,19729.0,,,,,,-878674.0,,2796966.0,1106152.0,-6136.0,-1337181.0,-3587.0,-1145.0,,892240.0,,,,0.001,10000000.0,100000.0,100000.0,100.0,,,,,,,,,,,,,,,,1072710.0,,,,-1390026.0,-10643736.0,24239.0,,,1549408.0,-2448510.0,,,,,,,30799157.0,,
2014-09-30,2015-06-08,10-Q,"MONDIAL VENTURES, INC.",MNVN,CIK0001284452,USD,,,469503.0,,137982.0,587.0,,2478.0,,-53336.0,5723.0,,6652810.0,,8259.0,,,1101602.0,4712.0,,4125.0,,4125.0,,0.001,4990000000.0,1665857182.0,1665857182.0,106759.0,1665857.0,,,287149.0,,,32569.0,,,,,,414618.0,,,2835.0,740174.0,-740174.0,,,,1127499.0,1127499.0,,,,,,-265972.0,-63400.0,120149.0,,,6399.0,,,-211527.0,,,,,,,,,,,,300349.0,,,3345148.0,1101602.0,,3336889.0,8259.0,206000.0,659096.0,,,-176944.0,0.3383,,,,-182697.0,-28830.0,151638.0,22215.0,,,,21851.0,,,,,,-113750.0,,2114783.0,1096890.0,14538.0,-177800.0,-9641.0,,,120149.0,,,,0.001,10000000.0,100000.0,100000.0,100.0,,,,,,,,,,,,,,,,1071840.0,,,,-211527.0,-10826433.0,38968.0,,,1601905.0,-2243546.0,,,,,,,790151987.0,,
